food,hotel,shopping,service,beauty,travel,entertainment,sports,education,media,medicine,car,traffic,finace,estate,company,government
6,8,15,9,10,0,5,0,56,5,12,2,10,4,22,1,26
14,6,13,16,2,1,1,0,8,3,6,4,24,5,1,9,61
5,4,29,15,4,0,0,0,8,0,22,24,31,1,38,12,0
15,4,21,12,10,3,2,0,4,1,8,10,61,3,27,2,9
15,19,7,1,11,0,0,0,22,2,0,30,31,0,4,9,15
15,0,12,9,6,0,0,0,16,0,4,6,4,8,91,10,11
14,3,29,6,5,0,1,0,13,0,26,6,9,13,49,8,9
3,13,14,26,4,1,13,2,15,0,8,0,7,20,53,3,10
10,0,14,34,5,0,0,1,42,0,4,9,27,0,34,4,8
1,0,0,44,0,0,0,0,55,0,0,2,0,0,82,0,0
3,1,41,29,5,0,1,1,5,0,3,24,9,2,29,2,37
2,9,2,26,0,0,0,0,27,0,30,2,3,0,66,0,25
11,0,27,44,2,0,4,0,18,0,39,7,18,2,21,0,1
10,8,40,20,15,2,12,0,2,3,10,5,34,5,11,1,15
17,5,12,6,1,9,0,2,1,0,4,6,70,21,11,9,2
8,7,18,26,4,6,3,3,15,2,5,2,8,13,14,7,49
3,14,10,22,13,0,1,0,13,0,21,7,59,1,1,4,11
11,2,7,27,11,4,6,4,30,0,13,2,5,30,14,7,19
38,6,24,26,4,0,0,1,35,0,9,0,4,9,32,2,2
1,0,50,30,9,11,0,6,12,6,8,0,0,9,41,0,10
16,1,6,21,6,5,3,0,39,0,16,13,11,16,29,2,7
29,0,26,10,6,0,6,0,16,0,9,27,3,8,37,6,12
11,3,17,8,1,0,0,5,4,0,9,63,10,9,7,12,35
9,7,19,31,7,0,1,1,33,0,7,0,7,8,19,2,30
7,2,6,17,9,0,1,0,19,0,10,10,14,6,74,3,13
7,0,5,17,1,21,13,0,1,0,2,24,22,31,13,3,31
7,4,12,22,7,4,4,2,18,3,21,6,16,18,20,4,23
20,0,15,8,8,0,9,0,15,0,63,25,11,10,3,0,8
5,10,36,11,7,0,3,0,12,0,21,55,16,4,3,7,1
14,5,15,10,4,1,1,0,1,3,6,13,28,5,0,11,75
7,4,41,30,52,0,4,0,1,1,1,0,9,6,9,0,3
8,6,28,29,38,0,0,0,0,0,17,0,20,2,23,2,17
2,31,13,12,2,1,21,0,12,11,8,16,33,0,0,0,31
1,26,0,13,1,4,14,1,41,11,3,7,16,17,6,1,30
17,13,23,12,7,2,13,0,7,4,2,20,37,9,18,1,7
15,2,13,46,18,2,0,0,17,1,4,14,7,1,11,11,31
16,6,8,18,9,13,2,0,12,4,5,5,19,15,2,8,49
5,2,10,24,12,10,0,0,25,0,7,3,59,7,10,3,15
6,5,9,10,30,4,1,2,40,3,7,10,8,8,17,3,30
8,10,15,10,11,1,1,0,4,1,8,0,18,16,24,2,64
6,6,4,8,2,1,2,0,24,7,5,0,17,16,52,7,34
5,4,10,22,11,4,2,0,51,0,9,0,11,15,29,9,13
0,1,1,9,1,7,6,0,24,1,7,49,33,2,31,1,18
20,7,5,13,4,17,2,3,4,6,13,0,24,38,9,5,22
14,4,12,22,9,0,1,1,15,0,6,0,21,18,17,21,31
20,12,5,13,7,12,1,0,13,7,12,6,22,16,8,6,22
4,1,36,5,4,3,0,0,2,5,5,4,15,7,6,2,9
19,2,50,41,2,0,0,0,4,0,15,5,0,0,22,23,9
3,2,6,3,0,1,0,0,3,0,6,0,167,1,0,2,1
21,10,14,3,11,0,1,0,33,4,1,1,13,4,47,5,25
9,6,14,18,12,3,3,2,17,0,18,0,2,34,10,9,33
4,2,12,7,4,1,1,0,8,0,11,0,11,3,17,2,1
21,3,19,15,1,2,7,2,24,0,8,0,15,3,9,12,25
3,2,10,14,5,17,0,0,19,1,7,0,3,9,53,2,6
12,1,18,9,8,0,0,0,18,0,16,15,31,8,24,5,27
50,0,31,1,12,0,7,0,0,0,2,21,0,17,0,0,12
25,12,22,19,13,9,3,1,4,1,9,6,35,10,4,6,13
19,7,13,44,8,1,1,1,9,0,9,2,17,3,34,5,17
15,2,13,4,0,0,0,0,20,0,3,26,25,7,66,0,12
12,7,21,11,10,6,5,0,11,3,7,18,11,7,33,6,24
0,0,47,4,4,8,0,0,5,0,2,42,0,2,7,0,2
7,0,6,15,0,0,0,0,38,0,2,1,10,9,43,10,22
1,1,5,8,3,69,0,0,17,0,8,0,9,3,12,2,35
8,2,11,9,6,0,8,1,3,0,3,76,16,17,9,3,19
13,13,5,8,4,1,13,3,9,5,2,4,20,26,8,0,56
0,0,24,14,0,0,0,0,30,0,20,17,13,0,5,0,7
21,3,12,12,15,1,4,3,8,1,16,2,11,11,19,7,18
24,2,21,20,19,1,1,1,20,0,11,25,7,9,8,3,20
15,4,35,14,11,4,4,3,3,1,7,9,48,20,5,1,8
17,2,7,17,10,1,0,1,14,2,9,9,34,7,8,9,17
10,8,27,8,8,2,8,0,3,3,1,0,11,6,2,91,3
3,2,7,39,10,1,0,0,12,3,11,0,34,4,48,0,19
2,3,19,24,27,2,2,0,7,0,3,2,13,7,65,4,11
0,8,11,2,5,1,0,0,11,0,0,7,16,22,89,9,11
2,6,21,19,1,0,1,1,9,1,9,10,29,5,60,0,17
4,3,4,7,0,0,0,0,1,0,3,10,42,8,110,0,1
0,69,0,2,0,0,27,0,14,15,0,9,10,0,0,0,49
10,0,13,13,0,17,0,0,4,0,11,14,96,4,0,3,9
1,0,9,32,5,0,3,1,8,0,28,3,35,15,31,8,15
4,0,3,0,0,0,0,0,61,0,0,86,0,0,22,4,15
24,1,12,14,3,1,8,1,31,0,8,0,10,0,37,15,9
25,0,7,23,0,20,20,0,1,18,12,0,7,0,6,0,55
6,7,27,23,4,4,0,0,13,6,24,0,11,1,20,8,40
4,0,9,2,9,0,0,0,7,0,13,0,2,3,22,8,10
13,8,19,18,3,13,9,0,11,2,11,9,28,12,11,1,22
14,5,12,18,4,19,4,0,9,0,10,22,40,15,5,2,10
13,20,10,17,7,1,2,2,19,0,14,20,10,8,7,4,39
14,2,9,8,12,1,0,0,51,1,30,17,5,20,15,1,5
4,1,33,8,0,0,0,3,12,0,2,26,5,10,3,70,16
1,4,22,6,6,0,3,0,13,0,13,50,13,4,1,0,2
0,3,5,20,8,10,0,0,7,0,7,0,16,0,8,1,8
10,0,8,27,4,0,0,0,27,0,12,33,22,1,23,0,11
0,3,25,25,0,6,0,0,23,0,0,7,24,61,7,7,6
8,8,2,7,5,1,0,0,12,0,65,30,5,5,4,1,38
1,1,2,46,1,0,1,0,107,0,2,0,1,15,7,2,8
14,2,21,12,7,2,1,3,7,1,18,0,18,14,43,13,16
19,0,24,13,0,1,0,0,11,3,5,3,17,4,0,27,65
22,10,41,28,7,19,8,0,21,3,4,1,17,6,0,1,2
17,14,18,20,7,5,3,0,18,0,7,1,3,7,9,10,53
10,9,11,20,6,3,5,2,5,6,15,0,11,16,10,0,41
28,1,25,10,1,0,0,0,0,0,4,43,40,16,0,0,25
12,0,12,26,35,0,14,9,0,0,12,0,0,26,34,6,9
2,1,3,4,2,9,7,0,27,0,27,21,30,7,41,1,10
4,0,10,36,9,0,5,0,27,0,26,2,7,0,59,5,4
17,18,25,15,0,15,28,5,1,0,13,0,49,3,3,0,0
6,11,6,14,11,25,2,2,4,0,15,10,62,11,2,0,8
6,5,19,21,3,2,0,0,0,0,16,0,17,2,13,11,78
3,1,28,2,5,7,0,0,16,0,2,5,34,2,9,0,5
17,5,19,12,5,0,0,0,19,0,10,0,12,6,64,12,9
10,1,11,20,0,8,0,3,37,4,8,5,8,12,5,12,49
10,0,7,14,6,0,2,2,25,0,8,0,6,13,40,11,48
9,4,7,36,8,0,1,1,24,0,17,0,12,8,44,3,17
11,14,3,16,0,7,5,1,15,0,5,0,24,10,49,4,30
0,7,20,50,7,1,7,0,0,0,6,27,64,0,0,0,5
2,0,2,8,5,0,1,1,28,1,97,19,10,6,9,0,4
12,4,11,34,3,1,0,0,7,0,25,10,45,3,33,1,4
14,2,9,3,14,0,0,0,0,0,27,82,27,1,0,9,5
11,6,9,15,1,1,1,0,2,7,5,5,31,6,4,11,77
6,4,18,20,5,10,2,3,29,0,28,0,4,15,11,7,29
17,7,11,5,6,2,3,0,18,0,10,0,5,12,21,8,67
10,7,17,29,11,3,6,0,23,1,4,2,47,11,7,2,10
11,2,14,10,7,0,0,1,20,0,20,8,16,6,49,4,7
12,7,46,18,6,1,4,5,11,4,4,0,37,13,8,2,13
5,8,20,17,4,1,1,0,38,2,24,0,4,3,32,3,32
7,6,17,17,22,9,3,0,15,1,34,4,10,15,26,2,2
0,0,0,0,0,0,0,0,131,0,0,2,40,0,0,0,0
7,5,20,29,11,3,3,1,20,2,3,5,32,6,10,6,29
9,2,11,1,3,0,0,0,17,0,43,8,4,3,87,1,4
4,0,4,6,5,1,1,1,77,0,6,1,57,3,11,1,12
24,3,4,29,3,7,0,0,6,1,28,11,38,16,8,0,15
10,1,24,5,0,0,8,3,13,0,6,70,17,3,5,10,19
10,2,2,41,20,0,3,3,11,1,19,6,7,26,22,3,15
0,12,9,33,0,0,0,0,28,0,0,13,24,20,13,11,31
13,0,13,15,5,0,5,0,22,0,46,8,6,2,47,6,5
3,3,43,3,17,0,2,0,15,0,45,0,3,14,30,7,6
5,3,13,45,21,0,1,0,18,0,4,0,2,2,11,16,52
8,13,5,11,14,1,0,0,24,0,6,31,40,1,0,5,0
0,20,20,9,18,6,0,2,14,5,31,0,20,5,12,2,30
6,0,2,7,5,8,4,0,19,0,6,28,37,8,38,1,24
7,7,16,7,1,2,1,0,50,0,12,0,13,5,67,3,1
12,5,15,6,5,11,6,0,13,3,5,40,13,8,24,3,21
9,17,12,23,8,0,0,0,49,0,8,0,0,1,29,9,29
8,7,6,17,2,21,5,0,22,0,6,3,6,32,41,2,15
16,4,18,18,8,0,2,1,52,0,21,4,10,9,3,8,17
24,8,10,9,14,8,5,0,1,4,28,15,26,9,9,8,14
