x,y
109.487979,36.599409
109.487992,36.599325
109.487991,36.599338
109.488113,36.599464
109.488122,36.59943
109.488084,36.599447
109.487998,36.59935
109.487892,36.599454
109.488002,36.599359
109.487897,36.599504
109.488072,36.599454
109.488103,36.599468
109.487923,36.599425
109.487991,36.599356
109.487913,36.599371
109.488065,36.599467
109.487955,36.599354
109.488006,36.59937
109.487988,36.599386
109.487946,36.599387
109.488072,36.599439
109.488013,36.599545
109.487937,36.599378
109.488122,36.599463
109.487806,36.599509
109.488061,36.599503
109.487996,36.599389
109.488008,36.599333
109.487951,36.599391
109.487979,36.599363
109.487979,36.599484
109.488114,36.599439
109.487986,36.599359
109.488008,36.599444
109.487191,36.598344
109.486514,36.598839
109.487182,36.598292
109.48708,36.59844
109.486897,36.598568
109.486491,36.597758
109.487168,36.598298
109.487058,36.598528
109.487126,36.598371
109.486726,36.598691
109.48678,36.597966
109.487411,36.598199
109.486927,36.598525
109.487169,36.598373
109.4867,36.597918
109.486539,36.598824
109.486917,36.598146
109.487116,36.598387
109.486847,36.598613
109.487143,36.598291
109.487244,36.59844
109.48675,36.597967
109.486865,36.598077
109.487172,36.598265
109.48688,36.598083
109.486681,36.598766
109.487126,36.598299
109.486988,36.598521
109.486663,36.598762
109.487208,36.598444
109.48716,36.598291
109.487129,36.598284
109.486712,36.598745
109.486943,36.598167
109.486518,36.598847
109.48688,36.598592
109.486499,36.598839
109.48695,36.598203
109.48668,36.598727
109.486823,36.597989
109.487406,36.59859
109.486624,36.598783
109.487055,36.598444
109.486898,36.598106
109.487084,36.598451
109.486698,36.598772
109.486625,36.598785
109.486755,36.597946
109.486866,36.5986
109.486694,36.598725
109.487071,36.598293
109.486959,36.598179
109.487149,36.598303
109.487233,36.598276
109.486577,36.598787
109.486943,36.598503
109.487086,36.598307
109.486531,36.597761
109.487277,36.598272
109.487449,36.598193
109.486896,36.598138
109.487311,36.598261
109.486979,36.598482
109.486688,36.598728
109.486552,36.598819
109.487136,36.598355
109.486758,36.597928
109.486722,36.598709
109.487344,36.598244
109.486861,36.598611
109.487246,36.598306
109.48699,36.598289
109.487544,36.5981
109.487359,36.598554
109.486892,36.598579
109.48692,36.59817
109.486818,36.598652
109.486747,36.597957
109.486617,36.598773
109.487192,36.598313
109.486466,36.598891
109.486885,36.598571
109.43934,36.567645
109.439133,36.567666
109.439228,36.567669
109.439208,36.567603
109.439212,36.567664
109.439354,36.5676
109.439227,36.567657
109.439147,36.567657
109.439198,36.567692
109.439175,36.567679
109.439214,36.567649
109.439337,36.567611
109.439176,36.567599
109.439053,36.567678
109.438949,36.56773
109.438971,36.567726
109.439014,36.567726
109.439197,36.56759
109.439123,36.567694
109.439273,36.567585
109.439149,36.567663
109.439251,36.56759
109.439309,36.567579
109.4392,36.56764
109.439073,36.567702
109.439004,36.567725
109.439175,36.567574
109.438933,36.567733
109.439187,36.56761
109.439297,36.567648
109.439188,36.56766
109.439505,36.567581
109.439203,36.567644
109.490473,36.596462
109.490463,36.596498
109.490594,36.596452
109.490821,36.596593
109.49061,36.59646
109.490518,36.596605
109.490721,36.596463
109.490685,36.596441
109.490479,36.596859
109.490558,36.59649
109.490519,36.59657
109.50762,36.582174
109.507553,36.582209
109.507704,36.581777
109.507521,36.582154
109.507748,36.5819
109.507711,36.581874
109.507685,36.581831
109.507559,36.582185
109.507635,36.58196
109.507462,36.5818
109.507514,36.58195
109.507583,36.582184
